;;;;Lightning;DataFly;IGreedy
Quality measure;Suppression limit;Privacy model;Dataset;Value;Value;Value
Discernibility;0.0;(0.01)-uniqueness;FARS;0.0031985839160715707;5.230258124275046E-6;5.230258124275046E-6
Discernibility;0.0;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Discernibility;0.0;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
Discernibility;0.1;(5)-anonymity;ADULT;0.09450027752615443;0.07741070498866061;0.07741070498866061
Discernibility;0.1;(5)-anonymity;CUP;0.06869258176978463;0.045162292782808616;0.045162292782808616
Discernibility;0.1;(5)-anonymity;FARS;0.07790342881128261;0.08114245247199697;0.08114245247199697
Discernibility;0.1;(5)-anonymity;ATUS;0.0877605286517804;0.0877605286517804;0.0877605286517804
Discernibility;0.1;(5)-anonymity;IHIS;0.0926755456374801;0.0926755456374801;0.0926755456374801
Discernibility;0.1;recursive-(4,3)-diversity;ADULT;0.0961993663704704;0.10328783923475068;0.10328783923475068
Discernibility;0.1;recursive-(4,3)-diversity;CUP;0.07444993576629193;0.01848682898781809;0.01848682898781809
Discernibility;0.1;recursive-(4,3)-diversity;FARS;0.09125424064939018;0.09652017052938949;0.09652017052938949
Discernibility;0.1;recursive-(4,3)-diversity;ATUS;0.08411314279563797;0.4800433225846426;0.4800433225846426
Discernibility;0.1;recursive-(4,3)-diversity;IHIS;0.05498789803936596;0.09515394614709094;0.09515394614709094
Discernibility;0.1;(0.2)-closeness;ADULT;0.07223191323130089;0.0;0.0
Discernibility;0.1;(0.2)-closeness;CUP;0.020676770067991082;0.03749934703642356;0.03749934703642356
Discernibility;0.1;(0.2)-closeness;FARS;0.022005841651213918;0.041044231103534314;0.041044231103534314
Discernibility;0.1;(0.2)-closeness;ATUS;0.38746706865376;0.5045002616718317;0.5045002616718317
Discernibility;0.1;(0.2)-closeness;IHIS;0.12038010650059397;0.13242021499080808;0.05618068926885732
Discernibility;0.1;(0.05, 0.015)-presence;ADULT;0.011200708072734109;0.013445989872366757;0.013445989872366757
Discernibility;0.1;(0.05, 0.015)-presence;CUP;0.09288198370610869;0.07747146471579537;0.07747146471579537
Discernibility;0.1;(0.05, 0.015)-presence;FARS;0.0;0.0;0.0
Discernibility;0.1;(0.05, 0.015)-presence;ATUS;0.03994958057201134;0.5013182299199276;0.5013182299199276
Discernibility;0.1;(0.05, 0.015)-presence;IHIS;0.004995321636490796;0.005650391537491884;0.005650391537491884
Discernibility;0.1;(0.01)-uniqueness;ADULT;3.0535113332457375E-4;3.0535113332457375E-4;3.0535113332457375E-4
Discernibility;0.1;(0.01)-uniqueness;CUP;4.151369401724375E-6;5.272447851603497E-7;5.272447851603497E-7
Discernibility;0.1;(0.01)-uniqueness;FARS;0.05678684725189378;0.05678684725189378;0.05678684725189378
Discernibility;0.1;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Discernibility;0.1;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
Non-uniform entropy;0.0;(5)-anonymity;ADULT;0.1015261072916688;0.22905845091512186;0.22905845091512186
Non-uniform entropy;0.0;(5)-anonymity;CUP;0.2538092933492419;0.2538092933492419;0.2538092933492419
Non-uniform entropy;0.0;(5)-anonymity;FARS;0.0;0.0;0.0
Non-uniform entropy;0.0;(5)-anonymity;ATUS;0.0;0.7786504511106987;0.7786504511106987
Non-uniform entropy;0.0;(5)-anonymity;IHIS;0.0027532902916439423;0.4374254061343228;0.495125621700757
Non-uniform entropy;0.0;recursive-(4,3)-diversity;ADULT;0.602487758318071;0.22905845091512186;0.22905845091512186
Non-uniform entropy;0.0;recursive-(4,3)-diversity;CUP;0.48732540373901745;0.48732540373901745;0.48732540373901745
Non-uniform entropy;0.0;recursive-(4,3)-diversity;FARS;0.0;0.0;0.0
Non-uniform entropy;0.0;recursive-(4,3)-diversity;ATUS;0.0;1.0;0.8542960055040846
Non-uniform entropy;0.0;recursive-(4,3)-diversity;IHIS;0.5573640577090413;0.7404021962731696;0.6547304802260903
