;;;;Time;Quality;Complete
Quality measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;1.0;SS13ACS_30;4777.0;0.997680307745839;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4960.0;0.9977391599937145;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4985.0;0.9979692139126164;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5202.0;0.9980254250037612;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5244.0;0.9981910442776701;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5443.0;0.9982398676897917;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5527.0;0.9983310306038858;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5685.0;0.9984103390213943;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5810.0;0.9984313119233935;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5843.0;0.9984678382012965;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5926.0;0.9985453617455659;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6051.0;0.9985607455338136;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6059.0;0.9985811951485256;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6167.0;0.9986572550605723;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6292.0;0.9986673223579332;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6317.0;0.9987024221453288;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6408.0;0.9987818656874514;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6533.0;0.9988162833644543;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6558.0;0.9988602356681943;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6649.0;0.998927945752312;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6774.0;0.9989853526549939;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6799.0;0.9990421869202427;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6889.0;0.9990984570736776;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7014.0;0.9991495496316852;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7039.0;0.9992184801137168;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7130.0;0.9992775390699267;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7255.0;0.999322545489738;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7280.0;0.9993671885149604;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7371.0;0.9993938017271774;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7496.0;0.9994728752097777;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7521.0;0.9995033194814656;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7611.0;0.999529279632673;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7736.0;0.9996106754166799;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7851.0;0.9996361262573746;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8000.0;0.9996950463326272;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8090.0;0.9997491821450051;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8239.0;0.9997904532657053;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8326.0;0.9998679920795247;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8620.0;0.999880131376012;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8699.0;0.9998922426695084;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8723.0;0.9999324126433415;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8832.0;0.9999444037032429;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8915.0;0.9999563672712224;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9040.0;0.9999643277565727;false
